# This file contains a set of distributions for the baseline aorta diameter. 
# The first two "columns" are the sizes in centimetres. Each of pw, pwstar, 
# pwstar2, and pwstar3 is a set of weights that defines a distribution. 
# 
# The validation (men4yearsValidation.R) uses pwstar3. 
# Phase IB (ii), the analysis using the updated parameters like in Glover et 
# al 2014, uses pw, which is the NAAASP baseline distribution.    
# 
# This is produced by the Stata do-file 
# "SWAN_mixed_model_parameter_generation, slightly edited.do"
#@ 
#@ In case the file name changes: this file is currently called 
#@ "AAA max measurements 2009 to 2014 MS 17 06 2015.csv"
# 
size,size_str,fw,pw,pwstar,pwstar2,pwstar3
4.2,4.2,209,0.000298571,0.001106444,0.001261266,0.001292708
4.3,4.3,165,0.000235714,0.000873509,0.00102725,0.001052858
4.4,4.4,122,0.000174286,0.000645867,0.000782843,0.000802359
4.5,4.5,188,0.000268571,0.000995271,0.001242255,0.001382456
4.6,4.6,143,0.000204286,0.000757041,0.000972219,0.001081943
4.7,4.7,132,0.000188571,0.000698807,0.000922644,0.001026773
4.8,4.8,126,0.00018,0.000667043,0.00090477,0.001006882
4.9,4.9,78,0.000111429,0.000412931,0.000574993,0.000639887
5,5,103,0.000147143,0.000545281,0.000778958,0.000866871
5.1,5.1,81,0.000115714,0.000428813,0.000628049,0.00069893
5.2,5.2,72,0.000102857,0.000381167,0.000572017,0.000636575
5.3,5.3,63,9E-05,0.000333522,0.000512548,0.000570393
5.4,5.4,42,6E-05,0.000222348,0.00034972,0.000389189
5.5,5.5,86,0.000122857,0.000455283,0.000732519,0.000575314
5.6,5.6,71,0.000101429,0.000375873,0.000618314,0.000485619
5.7,5.7,36,5.14286E-05,0.000190584,0.000320387,0.000251629
5.8,5.8,30,4.28571E-05,0.00015882,0.000272719,0.000214191
5.9,5.9,47,6.71429E-05,0.000248818,0.000436236,0.000342617
6,6,56,8E-05,0.000296464,0.000530467,0.000416624
6.1,6.1,39,5.57143E-05,0.000206466,0.000376881,0.000295999
6.2,6.2,30,4.28571E-05,0.00015882,0.000295638,0.000232192
6.3,6.3,23,3.28571E-05,0.000121762,0.000231049,0.000181464
6.4,6.4,30,4.28571E-05,0.00015882,0.000307097,0.000241192
6.5,6.5,32,4.57143E-05,0.000169408,0.000333682,0.000262071
6.6,6.6,21,3E-05,0.000111174,0.00022299,0.000175134
6.7,6.7,16,2.28571E-05,8.47039E-05,0.000172953,0.000135836
6.8,6.8,21,3E-05,0.000111174,0.000231012,0.000181435
6.9,6.9,17,2.42857E-05,8.99979E-05,0.000190256,0.000149426
7,7,21,3E-05,0.000111174,0.000239033,0.000187735
7.1,7.1,17,2.42857E-05,8.99979E-05,0.00019675,0.000154526
7.2,7.2,14,2E-05,7.41159E-05,0.000164703,0.000129357
7.3,7.3,15,2.14286E-05,7.94099E-05,0.000179333,0.000140846
7.4,7.4,9,1.28571E-05,4.76459E-05,0.000109318,8.58579E-05
7.5,7.5,6,8.57E-06,3.1764E-05,7.40249E-05,5.81386E-05
7.6,7.6,11,1.57143E-05,5.82339E-05,0.000137813,0.000108237
7.7,7.7,7,1.00E-05,3.70579E-05,8.90363E-05,6.99284E-05
7.8,7.8,9,1.28571E-05,4.76459E-05,0.000116194,9.1258E-05
7.9,7.9,7,1.00E-05,3.70579E-05,9.17102E-05,7.20285E-05
8,8,7,1.00E-05,3.70579E-05,9.30471E-05,7.30785E-05
8.1,8.1,5,7.14E-06,2.647E-05,6.74172E-05,5.29489E-05
8.2,8.2,9,1.28571E-05,4.76459E-05,0.00012307,9.66581E-05
8.3,8.3,7,1.00E-05,3.70579E-05,9.7058E-05,7.62286E-05
8.4,8.4,6,8.57E-06,3.1764E-05,8.43385E-05,6.62388E-05
8.5,8.5,7,1.00E-05,3.70579E-05,9.97318E-05,7.83286E-05
8.6,8.6,5,7.14E-06,2.647E-05,7.2192E-05,5.6699E-05
8.7,8.7,2,2.86E-06,1.0588E-05,2.92588E-05,2.29796E-05
8.8,8.8,2,2.86E-06,1.0588E-05,2.96408E-05,2.32796E-05
8.9,8.9,7,1.00E-05,3.70579E-05,0.00010508,8.25287E-05
9,9,8,1.14286E-05,4.23519E-05,0.000121619,9.55185E-05
9.1,9.1,1,1.43E-06,5.29E-06,1.53934E-05,1.20898E-05
9.2,9.2,0,0,0,0,0
9.3,9.3,4,5.71E-06,2.1176E-05,6.31014E-05,4.95593E-05
9.4,9.4,1,1.43E-06,5.29E-06,1.59663E-05,1.25398E-05
9.5,9.5,2,2.86E-06,1.0588E-05,3.23146E-05,2.53797E-05
9.6,9.6,2,2.86E-06,1.0588E-05,3.26966E-05,2.56797E-05
9.7,9.7,1,1.43E-06,5.29E-06,1.65393E-05,1.29898E-05
9.8,9.8,1,1.43E-06,5.29E-06,1.67303E-05,1.31398E-05
9.9,9.9,1,1.43E-06,5.29E-06,1.69213E-05,1.32898E-05
10,10,2,2.86E-06,1.0588E-05,3.42246E-05,2.68797E-05
10.1,10.1,0,0,0,0,0
10.2,10.2,1,1.43E-06,5.29E-06,1.74943E-05,1.37399E-05
10.3,10.3,0,0,0,0,0
10.4,10.4,0,0,0,0,0
10.5,10.5,0,0,0,0,0
10.6,10.6,1,1.43E-06,5.29E-06,1.82582E-05,1.43399E-05
10.7,10.7,0,0,0,0,0
10.8,10.8,1,1.43E-06,5.29E-06,1.86402E-05,1.46399E-05
10.9,10.9,0,0,0,0,0
11,11,0,0,0,0,0
11.1,11.1,1,1.43E-06,5.29E-06,1.92132E-05,1.50899E-05
